ra,nome,ano_referencia,fase,turma,idade,genero,ano_ingresso,instituicao_ensino,pedra,inde,ian,ida,ieg,iaa,ips,ipp,ipv,defasagem,matematica,portugues,ida_next,ian_next,defasagem_next,delta_ida_next,delta_ian_next,delta_defasagem_next,target_risco,score_risco
RA-1023,Aluno-1023,2023,FASE 1,1A,,Feminino,2023.0,Pública,Topázio,9.1342,10.0,9.1,10.0,10.0,6.27,8.75,9.06,0.0,8.5,9.7,9.5,10.0,0.0,0.4000000000000003,0.0,0.0,0,0.3723496992865119
RA-1024,ALUNO-1024,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,9.8,5.0,-1.0,,,,0,0.0016169292812783377
RA-1024,Aluno-1024,2023,FASE 1,1B,10.0,Feminino,2023.0,Pública,Ametista,7.788875,5.0,9.8,10.0,0.0,6.27,9.21875,8.95,-1.0,10.0,9.5,10.0,5.0,-1.0,0.1999999999999993,0.0,0.0,0,0.6074551362291588
RA-1025,ALUNO-1025,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,9.183333333333334,10.0,,,,,0,0.0008088267227571396
RA-1025,ALUNO-1025,2022,0.0,G,,,2022.0,,Topázio,8.09268585185185,10.0,9.183333333333334,8.925925925925926,8.000020000000001,6.25,5.625,7.41666,-1.0,9.2,9.166666666666666,7.5,10.0,0.0,-1.6833333333333336,0.0,,1,0.9466592861344885
RA-1025,Aluno-1025,2023,FASE 1,1B,9.0,Masculino,2023.0,Pública,Topázio,8.215158333,10.0,7.5,8.9,8.5,7.52,7.65625,7.836666667,0.0,7.5,7.5,9.0,5.0,-1.0,1.5,-5.0,-1.0,0,0.1475110221011808
RA-1026,ALUNO-1026,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,5.6,10.0,0.0,,,,0,0.0007538855265298587
RA-1026,ALUNO-1026,2021,3.0,B,,,,Escola Pública,Ametista,7.008,10.0,5.6,6.1,9.6,7.5,7.1,6.2,0.0,,,2.777777777777778,5.0,,-2.822222222222221,-5.0,,1,0.5549752618387301
RA-1026,ALUNO-1026,2022,3.0,B,,,2021.0,Escola Pública,Quartzo,5.66899900252303,5.0,2.777777777777778,4.317217234837372,8.75001,7.5,7.5,6.874995,-1.0,3.5,2.333333333333333,3.2,2.5,-3.0,0.422222222222222,-2.5,,0,0.20324357413623867
RA-1027,ALUNO-1027,2022,,,,,,Rede Decisão,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.0,5.0,-1.0,,,,0,0.0016169292812783377
RA-1027,Aluno-1027,2023,FASE 1,1B,10.0,Feminino,2023.0,Pública,Ametista,7.748866667,5.0,6.0,9.7,9.5,7.52,7.5,8.333333333,-1.0,4.2,7.7,5.25,10.0,0.0,-0.75,5.0,1.0,1,0.8435911972833016
RA-1028,ALUNO-1028,2021,2.0,D,,,,Escola Pública,Ametista,6.917,5.0,7.1,5.4,8.4,7.5,7.5,7.8,-1.0,,,7.444444444444444,10.0,,0.3444444444444441,5.0,,1,0.8015120678020916
RA-1028,ALUNO-1028,2022,3.0,B,,,2019.0,Escola Pública,Ágata,6.943054722222223,10.0,7.444444444444444,6.666666666666668,7.91667,4.375,7.5,5.7083275,-1.0,8.5,5.333333333333333,5.0,5.0,-1.0,-2.444444444444444,-5.0,,1,0.7272323937313666
RA-1028,Aluno-1028,2023,FASE 1,1B,11.0,Masculino,2023.0,Pública,Agata,6.415708333,5.0,5.0,9.2,0.0,7.52,7.34375,7.946666667,-1.0,5.0,5.0,7.5,5.0,-2.0,2.5,0.0,-1.0,0,0.31834957235289474
RA-1029,ALUNO-1029,2021,2.0,P,,,,Escola Pública,Topázio,8.782,10.0,8.4,7.9,9.0,7.5,9.2,9.7,0.0,,,5.777777777777778,10.0,,-2.6222222222222227,0.0,,1,0.841169501668274
RA-1029,ALUNO-1029,2022,3.0,A,,,2019.0,Escola Pública,Ametista,7.928183035966957,10.0,5.777777777777778,8.915214902057008,8.75001,7.5,7.8125,7.9166675,-1.0,7.166666666666667,5.333333333333333,5.4,10.0,0.0,-0.3777777777777773,0.0,,0,0.1562157822475062
RA-1029,Aluno-1029,2023,FASE 1,1C,9.0,Feminino,2023.0,Pública,Ametista,7.058533333,10.0,5.4,6.3,10.0,3.77,7.5,8.006666667,0.0,3.5,7.2,8.75,5.0,-1.0,3.35,-5.0,-1.0,0,0.12742466427037558
RA-103,ALUNO-103,2021,1.0,F,,,,Escola Pública,Ametista,8.076,10.0,6.2,8.8,9.5,6.3,7.9,8.6,0.0,,,7.3,10.0,1.0,1.0999999999999996,0.0,1.0,1,0.7155358373200023
RA-103,Aluno-103,2022,4,A,13.0,Menina,2020.0,Rede Decisão,Topázio,8.107,10.0,7.3,8.7,7.9,7.5,,7.708,1.0,7.3,7.3,7.1,10.0,1.0,-0.2000000000000001,0.0,0.0,0,0.2871418411856686
RA-103,Aluno-103,2023,FASE 5,5A,14.0,Feminino,2020.0,Privada - Programa de Apadrinhamento,Topázio,8.0239,10.0,7.1,9.2,8.3,5.0,8.125,8.09,1.0,7.3,6.3,9.166666666666666,10.0,0.0,2.0666666666666664,0.0,-1.0,0,0.20181367119988045
RA-1030,ALUNO-1030,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,5.75,5.0,,,,,0,0.0008088267227571396
RA-1030,ALUNO-1030,2022,2.0,M,,,2022.0,,Ágata,6.874622323232323,5.0,5.75,8.282828282828284,8.500020000000001,7.5,6.458333333333334,6.611106666666666,-1.0,5.5,6.0,6.9,5.0,-1.0,1.1500000000000004,0.0,,0,0.35681084933196994
RA-1030,Aluno-1030,2023,FASE 1,1C,,Masculino,2023.0,Pública,Ametista,7.4027,5.0,6.9,9.7,8.5,3.77,6.875,8.39,-1.0,6.2,7.5,8.0,10.0,0.0,1.0999999999999996,5.0,1.0,1,0.8913368655334362
RA-1031,ALUNO-1031,2021,1.0,B,,,,Escola Pública,Topázio,8.863,10.0,8.1,10.0,9.5,7.5,7.5,9.0,0.0,,,8.833333333333332,5.0,,0.7333333333333325,-5.0,,0,0.4753195076761202
RA-1031,ALUNO-1031,2022,1.0,B,,,2020.0,Escola Pública,Ametista,7.950002,5.0,8.833333333333332,10.0,8.500020000000001,7.5,5.833333333333334,7.5,-1.0,9.0,8.666666666666666,5.9,5.0,-1.0,-2.933333333333332,0.0,,1,0.9677166897938111
RA-1031,Aluno-1031,2023,FASE 1,1D,10.0,Masculino,2023.0,Pública,Ametista,7.0602,5.0,5.9,8.8,8.0,7.52,6.666666667,7.006666667,-1.0,4.8,7.0,6.25,5.0,-1.0,0.3499999999999996,0.0,0.0,0,0.24333164833341622
RA-1032,ALUNO-1032,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,5.1,5.0,-2.0,,,,0,0.0007538855265298587
RA-1032,ALUNO-1032,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.0,5.0,-1.0,,,,0,0.0016169292812783377
RA-1032,Aluno-1032,2023,FASE 1,1D,,Masculino,2023.0,Pública,Ametista,7.434033333,5.0,6.0,9.5,8.5,7.52,7.291666667,7.563333333,-1.0,5.7,6.2,8.0,5.0,-1.0,2.0,0.0,0.0,0,0.2540874034690794
RA-1033,ALUNO-1033,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,9.1,10.0,,,,,0,0.0008088267227571396
RA-1033,ALUNO-1033,2022,0.0,H,,,2022.0,,Topázio,8.243991565656566,10.0,9.1,7.328282828282827,9.50002,8.125,5.625,8.166665,-1.0,8.866666666666667,9.333333333333334,7.9,5.0,-1.0,-1.1999999999999993,-5.0,,1,0.8655152548351185
RA-1034,ALUNO-1034,2021,2.0,M,,,,Escola Pública,Ametista,7.679,5.0,5.8,9.2,8.0,7.5,8.3,9.0,-1.0,,,6.633333333333333,5.0,,0.833333333333333,0.0,,0,0.33782106168447906
RA-1034,ALUNO-1034,2022,2.0,K,,,2019.0,Escola Pública,Ametista,7.495580529657477,5.0,6.633333333333333,9.490392648287385,9.50002,7.5,6.041666666666667,7.333333333333333,-1.0,7.833333333333333,5.433333333333334,8.3,5.0,-1.0,1.666666666666668,0.0,,0,0.34919768675306784
RA-1034,Aluno-1034,2023,FASE 1,1D,10.0,Masculino,2023.0,Pública,Ametista,7.9642,5.0,8.3,9.0,7.5,7.52,8.333333333,8.393333333,-1.0,7.8,8.7,7.5,10.0,0.0,-0.8000000000000007,5.0,1.0,1,0.952819792208733
RA-1035,ALUNO-1035,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,5.8,10.0,0.0,,,,0,0.0016169292812783377
RA-1035,Aluno-1035,2023,FASE 1,1D,9.0,Masculino,2023.0,Pública,Agata,6.888833333,10.0,5.8,8.3,0.0,7.52,7.708333333,7.78,0.0,4.0,7.5,7.0,5.0,-1.0,1.2000000000000002,-5.0,-1.0,0,0.1315384548427134
RA-1036,ALUNO-1036,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,8.0,5.0,-1.0,,,,0,0.0016169292812783377
RA-1036,Aluno-1036,2023,FASE 1,1F,11.0,Feminino,2023.0,Pública,Agata,6.970583333,5.0,8.0,9.6,0.0,3.77,9.0625,8.336666667,-1.0,9.0,7.0,7.0,10.0,0.0,-1.0,5.0,1.0,1,0.8869685158110053
RA-1037,ALUNO-1037,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,8.0,10.0,,,,,0,0.0008088267227571396
RA-1037,ALUNO-1037,2022,3.0,L,,,2022.0,,Topázio,8.121970030303032,10.0,8.0,8.151515151515152,8.33334,6.875,8.125,7.791665,-1.0,7.5,8.0,6.7,5.0,-1.0,-1.2999999999999998,-5.0,,1,0.8464995111057992
RA-1038,ALUNO-1038,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.5,10.0,0.0,,,,0,0.0007538855265298587
RA-1038,ALUNO-1038,2021,4.0,F,,,,Escola Pública,Ágata,6.619,10.0,6.5,6.1,8.3,0.0,8.0,7.3,0.0,,,5.777777777777779,10.0,,-0.7222222222222214,0.0,,1,0.6930452196057648
RA-1038,ALUNO-1038,2022,5.0,B,,,2021.0,Escola Pública,Ametista,7.532558522875818,10.0,5.777777777777779,7.44750816993464,9.16668,7.5,6.458333333333334,7.875,-1.0,6.333333333333333,1.666666666666667,6.5,5.0,-1.0,0.7222222222222214,-5.0,,0,0.06484033111784315
RA-1038,Aluno-1038,2023,FASE 1,1F,10.0,Feminino,2023.0,Privada,Ametista,7.736825,5.0,6.5,9.3,8.0,7.52,8.90625,8.17,-1.0,7.5,5.5,8.5,10.0,0.0,2.0,5.0,1.0,1,0.8708196084328669
RA-1039,ALUNO-1039,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,7.0,5.0,,,,,0,0.0008088267227571396
